term,est,se,t,p,model,outcome,n
tbinb12_18,9.28187103487003e-06,0.000868987198708912,0.0106812517476212,0.991569865818127,lpm,trip_any,17353890
tbinb24_30,-0.000220301789743468,0.00152924179200248,-0.144059488104227,0.886708316413053,lpm,trip_any,17353890
tbinb6_12,-0.000843135451393176,0.000886713890751829,-0.950854001709951,0.351564310755748,lpm,trip_any,17353890
tbingt30,-0.00125025588371665,0.00137517301963656,-0.909162604169671,0.372693401714625,lpm,trip_any,17353890
tbinle0,-0.000196709941575809,0.000988283526766138,-0.199042011981605,0.843978959696672,lpm,trip_any,17353890
tbinref18_24,-0.000114447062459593,0.00125584992797369,-0.091131161383473,0.928177416244562,lpm,trip_any,17353890
pbinp0_10,0.000358272797559998,0.000395650452499717,0.905528592969964,0.374574118619474,lpm,trip_any,17353890
pbinp10_25,-0.0012310273594262,0.000708650208349561,-1.73714386155795,0.0957374515980597,lpm,trip_any,17353890
pbinp25_50,0.000598534955058463,0.0011784654233864,0.507893522525702,0.616364410399822,lpm,trip_any,17353890
pbinp50p,-0.000877842744157986,0.00285294747066675,-0.307696777870512,0.761082163875764,lpm,trip_any,17353890
holiday_flag,-0.0074275860706127,0.00128753227777472,-5.76885426394903,7.07854684741426e-06,lpm,trip_any,17353890
spring_festival_window_7,-0.0084683288700809,0.0011238824732541,-7.53488827489373,1.1799102315756e-07,lpm,trip_any,17353890
lockdown,-0.00675900372463845,0.00590252596741159,-1.14510359835019,0.26394260415146,lpm,trip_any,17353890
ln_covid,-0.00106564015316136,0.000336301177425184,-3.16870776760343,0.00428715907605587,lpm,trip_any,17353890
tbinb12_18,0.0701830009964935,0.125446631184264,0.559465011805731,0.581252242028789,lpm,spend_day,17353890
tbinb24_30,0.0288511189731979,0.179942936508175,0.160334823544947,0.874017195306965,lpm,spend_day,17353890
tbinb6_12,-0.0496301828906437,0.130635901605515,-0.379912277411406,0.707496092594406,lpm,spend_day,17353890
tbingt30,-0.117661414090648,0.13882508383408,-0.847551543576045,0.405421543468908,lpm,spend_day,17353890
tbinle0,0.233411069794637,0.220207121436116,1.05996149567012,0.300166979607909,lpm,spend_day,17353890
tbinref18_24,0.0125359621017503,0.137925713035215,0.0908892317892139,0.928367538732042,lpm,spend_day,17353890
pbinp0_10,0.207094224983186,0.0611495939508212,3.38668193201314,0.00253912681840353,lpm,spend_day,17353890
