scenario,year,crop,QX,AC,YC,NETQM
BASE,2026,RICE,20964.453309519413,2899.6812149030866,7.22991658592377,340.36180341106024
BASE,2026,WHEA,14025.25608330427,2356.4314663539108,5.951904939126215,328.98934746360965
BASE,2026,MAIZ,30279.241137220026,4490.270813782667,6.7432995453814,266.04515475203084
BASE,2026,POTA,9864.281915415124,453.2876407894636,21.761638808936205,-87.36036816841377
BASE,2026,SORG,320.1097587217403,69.04505186965336,4.636244742433668,454.94280758995376
BASE,2026,BARL,229.66453314142163,55.968776088648426,4.103440332117645,1055.782962496507
BASE,2026,SOYS,2207.8585285006584,1045.427074314097,2.111920173819136,10687.717471054371
BASE,2026,SOYO,1876.920490607063,0.0,0.0,-20.877816601523058
BASE,2026,SOYM,7927.433931099542,0.0,0.0,118.53972235768052
BASE,2026,RAPS,1820.8226994770075,846.0678280374461,2.15210014981969,317.8673049498432
BASE,2026,RAPO,797.7197215911929,0.0,0.0,188.6841550849326
BASE,2026,RAPM,1248.4026728603212,0.0,0.0,194.37820610751382
BASE,2026,GRDS,1918.5975902466967,495.92136973886073,3.8687536115997183,-86.11248420355415
BASE,2026,GRDO,324.95587392746177,0.0,0.0,38.16590673351883
BASE,2026,GRDM,402.9618219203638,0.0,0.0,-4.424186398388562
BASE,2026,COTT,663.6356740015935,297.5769731162462,2.230131139019111,135.81027453584338
BASE,2026,SUGA,1119.5825110546637,0.0,0.0,452.72873441835367
BASE,2026,SUGC,963.424144377257,119.23689651211839,8.07991630576649,-5.357094691435584e-16
BASE,2026,SUGB,156.06087903753632,21.730443250119933,7.181670306549086,-0.06087903759576305
BASE,2026,FRTO,32019.487093350956,1066.201355571551,30.031369708948173,372.8766075459722
BASE,2026,VEGT,86399.4339570206,2339.4334771354065,36.93177634732967,-1441.2034174149123
BASE,2026,PIGB,0.0,0.0,0.0,0.0
BASE,2026,PIGO,0.0,0.0,0.0,0.0
BASE,2026,PIGT,0.0,0.0,0.0,0.0
BASE,2026,PIGM,5884.137104607509,0.0,0.0,87.23306159495357
BASE,2026,CATB,0.0,0.0,0.0,0.0
BASE,2026,CATO,0.0,0.0,0.0,0.0
BASE,2026,CATT,0.0,0.0,0.0,0.0
BASE,2026,CATM,771.3872548227828,0.0,0.0,271.335980587405
BASE,2026,SHGT,0.0,0.0,0.0,0.0
BASE,2026,SHGM,501.12515297029717,0.0,0.0,34.07896579290024
BASE,2026,CHKT,0.0,0.0,0.0,0.0
BASE,2026,CHKM,2908.5313354289124,0.0,0.0,-42.99759807917629
BASE,2026,EGGS,2999.0378819283014,0.0,0.0,-21.226995012671352
BASE,2026,MILK,4154.865981240613,0.0,0.0,1595.0258828395345
BASE,2026,FISH,7719.283421313752,0.0,0.0,274.5003896213389
BASE,2026,GRAIN,0.0,0.0,0.0,0.0
BASE,2026,CERE,0.0,0.0,0.0,0.0
BASE,2026,BEAN,0.0,0.0,0.0,0.0
BASE,2026,OILP,0.0,0.0,0.0,0.0
BASE,2026,OILS,0.0,0.0,0.0,0.0
BASE,2026,VEGF,0.0,0.0,0.0,0.0
BASE,2026,MEAT,0.0,0.0,0.0,0.0
BASE,2026,FRUT,0.0,0.0,0.0,0.0
BASE,2026,FRUF,0.0,0.0,0.0,0.0
BASE,2026,FRUN,0.0,0.0,0.0,0.0
BASE,2026,OTGR,3819.1546599750745,1036.467951160441,3.6847783433140466,198.05910167996237
BASE,2027,RICE,21025.988686363566,2898.2505014008693,7.254717518793028,319.0585882897075
BASE,2027,WHEA,14044.3157142247,2354.778719136551,5.964176421372817,280.0829737275785
BASE,2027,MAIZ,30434.367559103797,4487.003967514707,6.782781512885756,499.4718495569905
BASE,2027,POTA,9879.332444744512,453.393612940589,21.789747722006535,-90.9519289532109
BASE,2027,SORG,320.2254655380836,69.09050968609507,4.634869057892203,455.0412927226651
BASE,2027,BARL,229.32978288007203,55.9371783234736,4.099773884801686,1060.680321818218
BASE,2027,SOYS,2331.300144059595,1065.2318695180843,2.1885377360276363,10467.937990797198
BASE,2027,SOYO,1883.3666065178018,0.0,0.0,-20.87543935944215
BASE,2027,SOYM,7924.306172050496,0.0,0.0,118.46214234897133
BASE,2027,RAPS,1843.798935092612,848.3945264622679,2.1732800926723264,294.83123275293485
BASE,2027,RAPO,803.9775745207969,0.0,0.0,188.52823551698975
BASE,2027,RAPM,1248.3069634203164,0.0,0.0,194.38451888395528
BASE,2027,GRDS,1931.6212550308496,496.8560182611579,3.887688151168875,-84.65534972796583
BASE,2027,GRDO,328.78717086568065,0.0,0.0,38.15501148285074
BASE,2027,GRDM,402.93654562682406,0.0,0.0,-4.423920552748469
BASE,2027,COTT,663.1856195909716,297.234687341077,2.2311851470752657,140.96445965319984
BASE,2027,SUGA,1123.1602598597153,0.0,0.0,458.9065716022245
BASE,2027,SUGC,966.8437370225103,119.5724243489729,8.085842051682171,-5.357094691435584e-16
BASE,2027,SUGB,156.11810038485032,21.76042865060058,7.1744037257529625,-0.11810038497194507
BASE,2027,FRTO,32038.73649340789,1065.7209049920473,30.062970842865255,402.5321458248779
BASE,2027,VEGT,86600.54438486847,2339.7035285443258,37.013469154678766,-1371.719698041807
BASE,2027,PIGB,0.0,0.0,0.0,0.0
BASE,2027,PIGO,0.0,0.0,0.0,0.0
BASE,2027,PIGT,0.0,0.0,0.0,0.0
BASE,2027,PIGM,5847.238411408304,0.0,0.0,89.82584108432937
BASE,2027,CATB,0.0,0.0,0.0,0.0
BASE,2027,CATO,0.0,0.0,0.0,0.0
BASE,2027,CATT,0.0,0.0,0.0,0.0
BASE,2027,CATM,744.723487512437,0.0,0.0,275.5027061869982
BASE,2027,SHGT,0.0,0.0,0.0,0.0
BASE,2027,SHGM,506.3226948015685,0.0,0.0,34.523358021124
BASE,2027,CHKT,0.0,0.0,0.0,0.0
BASE,2027,CHKM,2936.068029382587,0.0,0.0,6.273715801737887
BASE,2027,EGGS,3024.8245048616354,0.0,0.0,-23.40813630324323
BASE,2027,MILK,4219.806857890036,0.0,0.0,1597.9523528656048
BASE,2027,FISH,7782.10662255979,0.0,0.0,298.69377086860135
BASE,2027,GRAIN,0.0,0.0,0.0,0.0
BASE,2027,CERE,0.0,0.0,0.0,0.0
BASE,2027,BEAN,0.0,0.0,0.0,0.0
BASE,2027,OILP,0.0,0.0,0.0,0.0
BASE,2027,OILS,0.0,0.0,0.0,0.0
BASE,2027,VEGF,0.0,0.0,0.0,0.0
BASE,2027,MEAT,0.0,0.0,0.0,0.0
BASE,2027,FRUT,0.0,0.0,0.0,0.0
BASE,2027,FRUF,0.0,0.0,0.0,0.0
