xid,prov,name,lng,lat,dist_beijing_km,dist_shanghai_km,dist_guangzhou_km,ln_dist_beijing,ln_dist_shanghai,ln_dist_guangzhou,dist_wuhan_km,ln_dist_wuhan
130131,河北省,平山县,114.20233197420312,38.25366251987636,265.2757432290772,1024.5023507479584,1683.4077573813026,5.5807698254863,6.931962262208248,7.428575444929685,851.9014152973267,6.747470810389505
130224,河北省,滦南县,118.68998683920884,39.52667040814608,199.34441987037792,955.8223387336576,1892.875347679456,5.2950340818147135,6.862572057636644,7.545852299954783,1070.1764678387292,6.975578837071379
130430,河北省,邱县,115.19339516368314,36.81736241714275,360.0467223853346,848.6132169868348,1532.487006034248,5.886233807432596,6.743603507696233,7.334647188840814,696.9848052459987,6.546763610301947
220421,吉林省,东丰县,125.5373779009073,42.68331077855281,821.6482285556883,1322.4940321917034,2450.60073848734,6.711312357665245,7.187274651201822,7.804088472864905,1673.5205038855356,7.422684772674046
220822,吉林省,通榆县,123.09452077673188,44.81896373588188,773.5283761884456,1516.878183612166,2570.979314477873,6.65096235478101,7.324409675275311,7.852042161522855,1758.1580506217033,7.472021977856877
222403,吉林省,敦化市,128.23861239315394,43.37829127451678,1054.3490441008587,1475.258805140655,2636.972495212361,6.960678835665493,7.296588714494728,7.877386755966073,1879.561602396979,7.538793838416557
350426,福建省,尤溪县,118.19743971364736,26.176218039460192,1536.157956417136,647.2457257716743,601.6850015807228,7.3370397446294096,6.472726014935334,6.39973405517593,621.2834782805861,6.431787464539322
350629,福建省,华安县,117.54058560970802,25.010067731399424,1660.229137471703,792.6288019516526,480.9047931710441,7.414710906446195,6.675355018667456,6.175669315318671,697.4645445692183,6.547451680244696
350724,福建省,松溪县,118.79145438277632,27.532554907166524,1393.7142161537745,487.2478357017313,739.2853856706673,7.239727560370331,6.188772896513734,6.605684024574712,552.9799296721075,6.315321707323215
530425,云南省,易门县,102.16953549619625,24.677404477592024,2153.0939830237508,2028.4254299296167,1141.1783998587534,7.674661148535998,7.615015120782534,7.039816691591651,1363.2414654851268,7.217620573368549
532527,云南省,泸西县,103.772523140916,24.53803716745029,2077.4078983933905,1889.9566092966145,978.427707795068,7.638876192843569,7.544309149746029,6.885946903468159,1236.4409906963253,7.119992362972983
532627,云南省,广南县,105.06158238459231,24.05219851092113,2058.871477650989,1800.9938786571513,842.6426638081408,7.629913285288913,7.496093946312407,6.7365429817880536,1166.5613777586611,7.061815707101399
