study_id,author_year,lang,Target,Path,crop,dep_var,x_var,beta,se,t_stat,p_report,N,df,model,endog,micro,region,data_years,spec_type,mean_y,mean_x,elast_reported,table_source,notes,part,t_use,df_use,PCC,SE_PCC,elasticity,elast_type
14农业产业链发展提高农业生产效率了吗__基于服务视角的再考察-管宁宁,管宁宁2024,cn,Yield,MCI,rice,ln水稻产量(超越对数SFA前沿),"ln农机作业投入(万元,自有农机按外包价折算)",0.571,0.249,,**,533.0,,SFA(Translog),0.0,1.0,江苏(徐州/泰州/南京/镇江),2021调查,baseline,,,,表4(产出:水稻产量),"translog生产前沿一阶项,模型含平方与交互项,系数非直接产出弹性;OCR显著性标记为0.571**",cn_g1.csv,2.293172690763052,533.0,0.09884193887094768,0.04310270188943253,0.571,full
14农业产业链发展提高农业生产效率了吗__基于服务视角的再考察-管宁宁,管宁宁2024,cn,Efficiency,AMS,rice,"产出效率(Translog-SFA,产量前沿)","农机服务(产业链服务子模块,0/1/2打分)",0.006,0.003,,*,533.0,,CLAD,0.0,1.0,江苏(徐州/泰州/南京/镇江),2021调查,subgroup,0.874,,,表10列(3),"分服务类型回归,单独引入农机服务变量;产业链综合服务指数(非机械化)未提取",cn_g1.csv,2.0,533.0,0.08630637040042062,0.04315318520021031,0.006,semi
14农业产业链发展提高农业生产效率了吗__基于服务视角的再考察-管宁宁,管宁宁2024,cn,Efficiency,AMS,rice,"收入效率(Translog-SFA,收入前沿)","农机服务(产业链服务子模块,0/1/2打分)",0.008,0.003,,***,533.0,,CLAD,0.0,1.0,江苏(徐州/泰州/南京/镇江),2021调查,subgroup,0.854,,,表10列(7),"收入效率为SFA收入前沿效率,类比成本/收入效率归入Efficiency,分析时可酌情剔除",cn_g1.csv,2.6666666666666665,533.0,0.11474325785511365,0.04302872169566762,0.008,semi
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),ln农机社会化服务费用(耕种管收合计),0.557,0.021,,***,491.0,,Tobit,0.0,1.0,河南/山东/河北/陕西,2021调查,baseline,0.79,7.21,,表3 Tobit列,小麦玉米种植户;因变量TE均值0.79,cn_g1.csv,26.523809523809526,491.0,0.7674331520640567,0.028933745409955466,5.083506329113924,converted
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),ln农机社会化服务费用(耕种管收合计),0.711,0.067,,***,491.0,,IV-Tobit,1.0,1.0,河南/山东/河北/陕西,2021调查,baseline,0.79,7.21,,表3 IV-Tobit列,"IV=村庄其他农户农机服务平均费用,Wald=6.48**",cn_g1.csv,10.611940298507461,491.0,0.43193202571190037,0.040702455306184715,6.489,converted
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),机耕社会化服务费用,0.672,0.071,,***,476.0,,IV-Tobit,1.0,1.0,河南/山东/河北/陕西,2021调查,subgroup,0.79,,,表4列1,环节异质性;IV=村庄其他农户机耕服务平均费用,cn_g1.csv,9.464788732394368,476.0,0.3979816497872673,0.042048656450738055,,none
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),机播社会化服务费用,0.952,0.083,,***,473.0,,IV-Tobit,1.0,1.0,河南/山东/河北/陕西,2021调查,subgroup,0.79,,,表4列2,环节异质性;IV=村庄其他农户机播服务平均费用,cn_g1.csv,11.469879518072288,473.0,0.46648729589503757,0.0406706360916892,,none
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),管理社会化服务费用,0.377,0.12,,***,176.0,,IV-Tobit,1.0,1.0,河南/山东/河北/陕西,2021调查,subgroup,0.79,,,表4列3,"管理(植保等)环节服务;弱IV检验Wald=1.4未拒绝,样本少,谨慎使用",cn_g1.csv,3.1416666666666666,176.0,0.2304386772009172,0.07334918107190998,,none
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),机收社会化服务费用,0.681,0.048,,***,480.0,,IV-Tobit,1.0,1.0,河南/山东/河北/陕西,2021调查,subgroup,0.79,,,表4列4,环节异质性;IV=村庄其他农户机收服务平均费用,cn_g1.csv,14.1875,480.0,0.5435523918962157,0.03831206286493151,,none
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),ln农机社会化服务费用(耕种管收合计),1.053,0.21,,***,330.0,,IV-Tobit,1.0,1.0,河南/山东/河北/陕西,2021调查,subgroup,0.79,,,表5列1,"规模异质性0-0.67hm2组;表5未明示模型,承接前文IV-Tobit设定",cn_g1.csv,5.014285714285714,330.0,0.26607704549684863,0.05306379824723478,,none
